Scenario,Perturbation,Latency,Count,Tick
Point2Point,"('station2', 0)",48.8,1,42.96
Point2Point,"('station2', 1)",48.64,1,142.96
Point2Point,"('station2', 2)",99.96,1,242.96
Point2Point,"('station2', 3)",55.04,1,342.96
Point2Point,"('station2', 4)",45.32,1,442.96
Point2Point,"('station2', 5)",55.08,1,542.96
Point2Point,"('station2', 6)",51.36,1,642.96
Point2Point,"('station2', 7)",46.08,1,742.96
Point2Point,"('station2', 8)",53.48,1,842.96
Point2Point,"('station2', 9)",45.68,0.96,942.96
Point2Point,"('station2', 10)",54.24,1,1042.96
Point2Point,"('station2', 11)",40.96,0.88,1142.96
Point2Point,"('station2', 12)",45.68,0.96,1242.96
Point2Point,"('station2', 13)",42.12,0.96,1342.96
Point2Point,"('station2', 14)",42.52,1,1442.96
Point2Point,"('station2', 15)",55.04,0.96,1542.96
Point2Point,"('station2', 16)",53.96,1,1642.96
Point2Point,"('station2', 17)",48.6,1,1742.96
Point2Point,"('station2', 18)",45.72,1,1842.96
Point2Point,"('station2', 19)",28.88,0.64,1942.96
Point2Point,"('station4', 0)",43.44,1,47.96
Point2Point,"('station4', 1)",105.28,1,147.92
Point2Point,"('station4', 2)",78.76,1,247.92
Point2Point,"('station4', 3)",96.88,0.96,347.92
Point2Point,"('station4', 4)",43.04,0.92,447.92
Point2Point,"('station4', 5)",42.6,0.96,547.92
Point2Point,"('station4', 6)",41.0,0.96,647.92
Point2Point,"('station4', 7)",37.76,0.96,747.92
Point2Point,"('station4', 8)",44.88,0.92,847.92
Point2Point,"('station4', 9)",54.76,0.96,947.92
Point2Point,"('station4', 10)",45.92,1,1047.92
Point2Point,"('station4', 11)",41.96,0.96,1147.92
Point2Point,"('station4', 12)",47.96,0.96,1247.92
Point2Point,"('station4', 13)",60.76,1,1347.92
Point2Point,"('station4', 14)",48.08,1,1447.92
Point2Point,"('station4', 15)",47.0,1,1547.92
Point2Point,"('station4', 16)",41.56,0.96,1647.92
Point2Point,"('station4', 17)",50.84,1,1747.92
Point2Point,"('station4', 18)",49.16,1,1847.92
Point2Point,"('station4', 19)",22.52,0.56,1947.92
Point2Point,"('station3', 0)",42.16,1,55.32
Point2Point,"('station3', 1)",60.64,1,155.32
Point2Point,"('station3', 2)",45.24,1,255.32
Point2Point,"('station3', 3)",42.2,0.96,355.32
Point2Point,"('station3', 4)",49.12,1,455.32
Point2Point,"('station3', 5)",52.28,1,555.32
Point2Point,"('station3', 6)",39.44,0.96,655.32
Point2Point,"('station3', 7)",46.68,0.96,755.32
Point2Point,"('station3', 8)",32.68,0.96,855.32
Point2Point,"('station3', 9)",39.24,1,955.32
Point2Point,"('station3', 10)",36.68,1,1055.32
Point2Point,"('station3', 11)",49.56,1,1155.32
Point2Point,"('station3', 12)",44.72,0.96,1255.32
Point2Point,"('station3', 13)",44.68,1,1355.32
Point2Point,"('station3', 14)",49.56,1,1455.32
Point2Point,"('station3', 15)",45.36,0.96,1555.32
Point2Point,"('station3', 16)",35.16,1,1655.32
Point2Point,"('station3', 17)",52.68,1,1755.32
Point2Point,"('station3', 18)",33.0,0.96,1855.32
Point2Point,"('station3', 19)",14.28,0.44,1955.32
Point2Point,"('station1', 0)",33.8,1,56.0
Point2Point,"('station1', 1)",33.8,1,156.0
Point2Point,"('station1', 2)",29.16,1,256.0
Point2Point,"('station1', 3)",30.0,1,356.0
Point2Point,"('station1', 4)",29.68,1,456.0
Point2Point,"('station1', 5)",29.12,1,556.0
Point2Point,"('station1', 6)",29.36,1,656.0
Point2Point,"('station1', 7)",34.4,1,756.0
Point2Point,"('station1', 8)",30.48,1,856.0
Point2Point,"('station1', 9)",28.16,1,956.0
Point2Point,"('station1', 10)",29.28,1,1056.0
Point2Point,"('station1', 11)",31.6,1,1156.0
Point2Point,"('station1', 12)",26.76,1,1256.0
Point2Point,"('station1', 13)",36.72,1,1356.0
Point2Point,"('station1', 14)",27.28,1,1456.0
Point2Point,"('station1', 15)",30.4,1,1556.0
Point2Point,"('station1', 16)",26.72,1,1656.0
Point2Point,"('station1', 17)",31.0,1,1756.0
Point2Point,"('station1', 18)",33.52,1,1856.0
Point2Point,"('station1', 19)",16.36,0.68,1956.0
Point2Point,"('station0', 0)",44.68,1,52.16
Point2Point,"('station0', 1)",38.04,0.96,152.16
Point2Point,"('station0', 2)",44.96,1,252.16
Point2Point,"('station0', 3)",38.52,1,352.16
Point2Point,"('station0', 4)",41.92,1,452.16
Point2Point,"('station0', 5)",44.96,1,552.16
Point2Point,"('station0', 6)",39.8,1,652.16
Point2Point,"('station0', 7)",47.04,1,752.16
Point2Point,"('station0', 8)",37.08,1,852.16
Point2Point,"('station0', 9)",44.28,1,952.16
Point2Point,"('station0', 10)",28.36,1,1052.16
Point2Point,"('station0', 11)",44.92,1,1152.16
Point2Point,"('station0', 12)",41.0,1,1252.16
Point2Point,"('station0', 13)",32.16,1,1352.16
Point2Point,"('station0', 14)",42.0,1,1452.16
Point2Point,"('station0', 15)",45.2,1,1552.16
Point2Point,"('station0', 16)",32.24,1,1652.16
Point2Point,"('station0', 17)",33.72,1,1752.16
Point2Point,"('station0', 18)",39.68,1,1852.16
Point2Point,"('station0', 19)",20.36,0.6,1952.16
Point2Point,"('station4', 20)",0,0,2000.0
PerfectConditions,"('station2', 0)",41.245999519807924,50.08,43.56
PerfectConditions,"('station2', 1)",41.25228991596639,50.08,143.56
PerfectConditions,"('station2', 2)",41.088706202481,50.12,243.56
PerfectConditions,"('station2', 3)",41.30057507002802,50.04,343.56
PerfectConditions,"('station2', 4)",41.2707439699284,50.08,443.56
PerfectConditions,"('station2', 5)",41.25531894204491,50.16,543.56
PerfectConditions,"('station2', 6)",41.209521203374955,50.08,643.56
PerfectConditions,"('station2', 7)",41.196493197093815,50.08,743.56
PerfectConditions,"('station2', 8)",41.123661459597,50.08,843.56
PerfectConditions,"('station2', 9)",41.26102867516892,50.04,943.56
PerfectConditions,"('station2', 10)",41.144964818005754,50.08,1043.56
PerfectConditions,"('station2', 11)",41.359828419178115,50,1143.56
PerfectConditions,"('station2', 12)",41.195518432053674,49.96,1243.56
