"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
2,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
4,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
6,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
8,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
10,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
12,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
14,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
16,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
18,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
20,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
22,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
24,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
26,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
28,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
30,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
32,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
34,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
36,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
38,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
40,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
42,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
44,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
46,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
48,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
50,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
52,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
54,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
56,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
58,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
60,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
62,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
64,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
66,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
68,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
70,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
72,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
74,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
76,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
78,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
80,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
82,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
84,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
86,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
88,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
90,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
92,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
94,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
96,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
98,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
100,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
1,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
3,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
5,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
7,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
9,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
11,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
13,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
15,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
17,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
19,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
21,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
23,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
25,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
27,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
29,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
31,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
33,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
35,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
37,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
39,500,1,0,0,100,100,3,1,123456,5,0,"GroupCommunication"
