"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
2,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
4,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
6,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
8,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
10,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
12,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
14,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
16,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
18,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
20,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
22,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
24,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
26,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
28,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
30,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
32,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
34,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
36,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
38,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
40,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
42,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
44,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
46,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
48,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
50,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
52,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
54,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
56,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
58,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
60,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
62,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
64,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
66,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
68,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
70,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
72,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
74,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
76,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
78,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
80,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
82,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
84,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
86,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
88,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
90,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
92,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
94,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
96,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
98,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
100,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
1,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
3,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
5,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
7,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
9,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
11,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
13,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
15,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
17,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
19,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
21,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
23,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
25,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
27,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
29,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
31,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
33,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
35,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
37,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
39,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
41,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
43,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
45,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
47,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
49,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
51,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
53,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
55,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
57,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
59,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
61,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
63,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
65,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
67,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
69,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
71,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
73,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
75,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
77,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
79,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
81,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
83,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
85,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
87,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
89,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
91,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
93,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
95,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
97,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
99,500,1,0,0,100,100,3,1,123456,5,0,"Point-to-Point"
