"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
2,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
4,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
6,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
8,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
10,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
12,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
14,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
16,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
18,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
20,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
22,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
24,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
26,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
28,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
30,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
32,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
34,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
36,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
38,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
40,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
42,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
44,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
46,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
48,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
50,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
52,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
54,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
56,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
58,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
60,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
62,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
64,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
66,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
68,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
70,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
72,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
74,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
76,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
78,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
80,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
82,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
84,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
86,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
88,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
90,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
92,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
94,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
96,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
98,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
100,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
1,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
3,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
5,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
7,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
9,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
11,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
13,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
15,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
17,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
19,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
21,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
23,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
25,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
27,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
29,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
31,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
33,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
35,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
37,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
39,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
41,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
43,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
45,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
47,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
49,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
51,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
53,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
55,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
57,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
59,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
61,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
63,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
65,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
67,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
69,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
71,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
73,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
75,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
77,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
79,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
81,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
83,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
85,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
87,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
89,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
91,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
93,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
95,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
97,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
99,500,1,5,0,100,100,3,1,123456,5,5,"PerfectConditions"
