"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
2,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
4,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
6,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
8,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
10,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
12,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
14,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
16,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
18,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
20,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
22,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
24,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
26,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
28,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
30,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
32,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
34,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
36,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
38,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
40,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
42,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
44,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
46,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
48,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
50,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
52,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
54,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
56,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
58,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
60,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
62,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
64,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
66,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
68,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
70,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
72,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
74,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
76,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
78,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
80,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
82,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
84,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
86,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
88,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
90,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
92,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
94,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
96,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
98,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
100,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
1,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
3,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
5,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
7,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
9,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
11,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
13,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
15,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
17,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
19,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
21,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
23,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
25,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
27,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
29,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
31,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
33,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
35,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
37,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
39,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
41,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
43,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
45,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
47,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
49,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
51,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
53,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
55,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
57,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
59,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
61,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
