"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
2,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
4,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
6,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
8,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
10,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
12,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
14,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
16,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
18,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
20,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
22,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
24,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
26,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
28,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
30,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
32,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
34,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
36,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
38,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
40,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
42,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
44,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
46,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
48,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
50,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
52,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
54,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
56,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
58,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
60,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
62,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
64,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
66,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
68,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
70,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
72,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
74,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
76,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
78,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
80,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
82,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
84,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
86,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
88,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
90,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
92,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
94,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
96,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
98,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
100,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
1,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
3,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
5,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
